var_name,dtype
PID,int64
CM_ID,float64
GIS_ID,int64
ST_NUM,float64
ST_NAME,object
UNIT_NUM,object
CITY,object
ZIP_CODE,float64
BLDG_SEQ,float64
NUM_BLDGS,int64
LUC,int64
LU,object
LU_DESC,object
BLDG_TYPE,object
OWN_OCC,object
OWNER,object
OWNER MAIL ADDRESS,object
RES_FLOOR,float64
CD_FLOOR,float64
RES_UNITS,float64
COM_UNITS,float64
RC_UNITS,float64
LAND_SF,float64
GROSS_AREA,float64
LIVING_AREA,float64
LAND_VALUE,int64
BLDG_VALUE,int64
TOTAL_VALUE,int64
GROSS_TAX,float64
YR_BUILT,float64
YR_REMODEL,float64
STRUCTURE_CLASS,object
ROOF_STRUCTURE,object
ROOF_COVER,object
INT_WALL,object
EXT_FNISHED,object
INT_COND,object
EXT_COND,object
OVERALL_COND,object
BED_RMS,float64
FULL_BTH,float64
HLF_BTH,float64
KITCHENS,float64
TT_RMS,float64
BDRM_COND,object
BTHRM_STYLE1,object
BTHRM_STYLE2,object
BTHRM_STYLE3,object
KITCHEN_TYPE,object
KITCHEN_STYLE1,object
KITCHEN_STYLE2,object
KITCHEN_STYLE3,object
HEAT_TYPE,object
HEAT_FUEL,object
AC_TYPE,object
FIREPLACES,float64
ORIENTATION,object
NUM_PARKING,float64
PROP_VIEW,object
CORNER_UNIT,object
